Country,Searches
Isle of Man,100
United States of America,89
United Kingdom,84
Canada,81
Hong Kong,75
Guam,75
China,73
Ireland,67
Malta,66
Puerto Rico,64
Guernsey,63
Estonia,59
Macao,58
Hungary,57
Singapore,56
Sweden,56
Jersey,55
Spain,54
Czechia,54
Luxembourg,53
Finland,53
Germany,52
Netherlands,51
Brunei,50
Austria,50
St. Helena,50
Denmark,48
Iceland,47
Latvia,47
Lithuania,44
Belgium,42
Poland,40
New Zealand,40
Kuwait,39
Portugal,39
Australia,38
Taiwan,36
Slovakia,36
Chile,35
Norway,34
Cyprus,33
Cayman Islands,33
Bahrain,32
Romania,29
France,29
Slovenia,28
Malaysia,27
Switzerland,26
Costa Rica,25
Russia,25
Maldives,25
United Arab Emirates,25
Montenegro,24
Croatia,23
Bulgaria,23
Philippines,23
Ukraine,22
Mexico,22
El Salvador,21
Réunion,21
Myanmar,21
Italy,20
Greece,20
Israel,20
Belarus,20
Barbados,19
Panama,19
Uruguay,18
Georgia,18
Qatar,18
Bahamas,18
Cuba,18
Brazil,17
Trinidad & Tobago,17
Honduras,17
Moldova,17
Paraguay,15
Madagascar,15
Colombia,15
Cambodia,15
Serbia,15
South Africa,14
Argentina,14
Saudi Arabia,14
Mauritius,14
Belize,13
North Macedonia,13
Jamaica,13
Dominican Republic,13
Japan,13
Guatemala,12
Ecuador,12
Peru,12
Turkey,12
Kazakhstan,12
Armenia,12
Oman,11
South Korea,11
Bolivia,10
Bosnia & Herzegovina,10
Thailand,9
Mongolia,9
Jordan,9
Lebanon,9
Nicaragua,9
Vietnam,9
Albania,9
Indonesia,8
Venezuela,8
Palestine,8
Pakistan,7
Libya,7
Azerbaijan,7
Mozambique,7
Iraq,6
Morocco,6
Bangladesh,6
Côte d’Ivoire,6
Zimbabwe,6
Kosovo,6
Laos,6
Ghana,6
Uzbekistan,6
Egypt,6
Tunisia,6
Namibia,5
Kyrgyzstan,5
Algeria,4
Syria,4
Sri Lanka,4
Kenya,4
Nigeria,4
Nepal,4
Sudan,4
Tanzania,4
India,4
Uganda,3
Zambia,3
Iran,3
Anguilla,
Falkland Islands (Islas Malvinas),
Svalbard & Jan Mayen,
Palau,
British Virgin Islands,
Greenland,
San Marino,
Caribbean Netherlands,
Gibraltar,
Sint Maarten,
U.S. Virgin Islands,
Aruba,
St. Lucia,
Turks & Caicos Islands,
Lesotho,
Martinique,
New Caledonia,
Guyana,
French Polynesia,
Gabon,
Guadeloupe,
Mali,
Congo,
Malawi,
Somalia,
Cameroon,
Guinea,
Senegal,
Burkina Faso,
Haiti,
Ethiopia,
Yemen,
Afghanistan,
Angola,
Åland Islands,
Andorra,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Burundi,
Benin,
St. Barthélemy,
Bermuda,
Bhutan,
Bouvet Island,
Botswana,
Central African Republic,
Cocos (Keeling) Islands,
Dem. Rep. Congo,
Cook Islands,
Comoros,
Cape Verde,
Curaçao,
Christmas Island,
Djibouti,
Dominica,
Eritrea,
Western Sahara,
Fiji,
Faroe Islands,
Micronesia,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Grenada,
French Guiana,
Heard & McDonald Islands,
British Indian Ocean Territory,
Kiribati,
St. Kitts & Nevis,
Liberia,
Liechtenstein,
St. Martin,
Monaco,
Marshall Islands,
Northern Mariana Islands,
Mauritania,
Montserrat,
Mayotte,
Niger,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
Papua New Guinea,
North Korea,
Rwanda,
South Georgia & South Sandwich Islands,
Solomon Islands,
Sierra Leone,
Saint Pierre and Miquelon,
South Sudan,
São Tomé and Príncipe,
Suriname,
Eswatini,
Seychelles,
Chad,
Togo,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
St. Vincent & Grenadines,
Vanuatu,
Wallis & Futuna,
Samoa,
